"chr","hg19","hg38"
"17","41195614",43043597
"17","41195615",43043598
"17","41195616",43043599
"17","41195617",43043600
"17","41195618",43043601
"17","41195619",43043602
"17","41195620",43043603
"17","41195621",43043604
"17","41195622",43043605
"17","41195623",43043606
"17","41195624",43043607
"17","41195625",43043608
"17","41195626",43043609
"17","41195627",43043610
"17","41195628",43043611
"17","41195629",43043612
"17","41195630",43043613
"17","41195631",43043614
"17","41195632",43043615
"17","41195633",43043616
"17","41195634",43043617
"17","41195635",43043618
"17","41195636",43043619
"17","41195637",43043620
"17","41195638",43043621
"17","41195639",43043622
"17","41195640",43043623
"17","41195641",43043624
"17","41195642",43043625
"17","41195643",43043626
"17","41195644",43043627
"17","41195645",43043628
"17","41195646",43043629
"17","41195647",43043630
"17","41195648",43043631
"17","41195649",43043632
"17","41195650",43043633
"17","41195651",43043634
"17","41195652",43043635
"17","41195653",43043636
"17","41195654",43043637
"17","41195655",43043638
"17","41195656",43043639
"17","41195657",43043640
"17","41195658",43043641
"17","41195659",43043642
"17","41195660",43043643
"17","41195661",43043644
"17","41195662",43043645
"17","41195663",43043646
"17","41195664",43043647
"17","41195665",43043648
"17","41195666",43043649
"17","41195667",43043650
"17","41195668",43043651
"17","41195669",43043652
"17","41195670",43043653
"17","41195671",43043654
"17","41195672",43043655
"17","41195673",43043656
"17","41195674",43043657
"17","41195675",43043658
"17","41195676",43043659
"17","41195677",43043660
"17","41195678",43043661
"17","41195679",43043662
"17","41195680",43043663
"17","41195681",43043664
"17","41195682",43043665
"17","41195683",43043666
"17","41195684",43043667
"17","41195685",43043668
"17","41195686",43043669
"17","41195687",43043670
"17","41195688",43043671
"17","41195689",43043672
"17","41195690",43043673
"17","41195691",43043674
"17","41195692",43043675
"17","41195693",43043676
"17","41195694",43043677
"17","41195695",43043678
"17","41195696",43043679
"17","41195697",43043680
"17","41195698",43043681
"17","41195699",43043682
"17","41195700",43043683
"17","41195701",43043684
"17","41195702",43043685
"17","41195703",43043686
"17","41195704",43043687
"17","41195705",43043688
"17","41195706",43043689
"17","41195707",43043690
"17","41195708",43043691
"17","41195709",43043692
"17","41195710",43043693
"17","41195711",43043694
"17","41195712",43043695
"17","41195713",43043696
"17","41195714",43043697
"17","41195715",43043698
"17","41195716",43043699
"17","41195717",43043700
"17","41195718",43043701
"17","41195719",43043702
"17","41195720",43043703
"17","41195721",43043704
"17","41195722",43043705
"17","41195723",43043706
"17","41195724",43043707
"17","41195725",43043708
"17","41195726",43043709
"17","41195727",43043710
"17","41195728",43043711
"17","41195729",43043712
"17","41195730",43043713
"17","41195731",43043714
"17","41195732",43043715
"17","41195733",43043716
"17","41195734",43043717
"17","41195735",43043718
"17","41195736",43043719
"17","41195737",43043720
"17","41195738",43043721
"17","41195739",43043722
"17","41195740",43043723
"17","41195741",43043724
"17","41195742",43043725
"17","41195743",43043726
"17","41195744",43043727
"17","41195745",43043728
"17","41195746",43043729
"17","41195747",43043730
"17","41195748",43043731
"17","41195749",43043732
"17","41195750",43043733
"17","41195751",43043734
"17","41195752",43043735
"17","41195753",43043736
"17","41195754",43043737
"17","41195755",43043738
"17","41195756",43043739
"17","41195757",43043740
"17","41195758",43043741
"17","41195759",43043742
"17","41195760",43043743
"17","41195761",43043744
"17","41195762",43043745
"17","41195763",43043746
"17","41195764",43043747
"17","41195765",43043748
"17","41195766",43043749
"17","41195767",43043750
"17","41195768",43043751
"17","41195769",43043752
"17","41195770",43043753
"17","41195771",43043754
"17","41195772",43043755
"17","41195773",43043756
"17","41195774",43043757
"17","41195775",43043758
"17","41195776",43043759
"17","41195777",43043760
"17","41195778",43043761
"17","41195779",43043762
"17","41195780",43043763
"17","41195781",43043764
"17","41195782",43043765
"17","41195783",43043766
"17","41195784",43043767
"17","41195785",43043768
"17","41195786",43043769
"17","41195787",43043770
"17","41195788",43043771
"17","41195789",43043772
"17","41195790",43043773
"17","41195791",43043774
"17","41195792",43043775
"17","41195793",43043776
"17","41195794",43043777
"17","41195795",43043778
"17","41195796",43043779
"17","41195797",43043780
"17","41195798",43043781
"17","41195799",43043782
"17","41195800",43043783
"17","41195801",43043784
"17","41195802",43043785
"17","41195803",43043786
"17","41195804",43043787
"17","41195805",43043788
"17","41195806",43043789
"17","41195807",43043790
"17","41195808",43043791
"17","41195809",43043792
"17","41195810",43043793
"17","41195811",43043794
"17","41195812",43043795
"17","41195813",43043796
"17","41195814",43043797
"17","41195815",43043798
"17","41195816",43043799
"17","41195817",43043800
"17","41195818",43043801
"17","41195819",43043802
"17","41195820",43043803
"17","41195821",43043804
"17","41195822",43043805
"17","41195823",43043806
"17","41195824",43043807
"17","41195825",43043808
"17","41195826",43043809
"17","41195827",43043810
"17","41195828",43043811
"17","41195829",43043812
"17","41195830",43043813
"17","41195831",43043814
"17","41195832",43043815
"17","41195833",43043816
"17","41195834",43043817
"17","41195835",43043818
"17","41195836",43043819
"17","41195837",43043820
"17","41195838",43043821
"17","41195839",43043822
"17","41195840",43043823
"17","41195841",43043824
"17","41195842",43043825
"17","41195843",43043826
"17","41195844",43043827
"17","41195845",43043828
"17","41195846",43043829
"17","41195847",43043830
"17","41195848",43043831
"17","41195849",43043832
"17","41195850",43043833
"17","41195851",43043834
"17","41195852",43043835
"17","41195853",43043836
"17","41195854",43043837
"17","41195855",43043838
"17","41195856",43043839
"17","41195857",43043840
"17","41195858",43043841
"17","41195859",43043842
"17","41195860",43043843
"17","41195861",43043844
"17","41195862",43043845
"17","41195863",43043846
"17","41195864",43043847
"17","41195865",43043848
"17","41195866",43043849
"17","41195867",43043850
"17","41195868",43043851
"17","41195869",43043852
"17","41195870",43043853
"17","41195871",43043854
"17","41195872",43043855
"17","41195873",43043856
"17","41195874",43043857
"17","41195875",43043858
"17","41195876",43043859
"17","41195877",43043860
"17","41195878",43043861
"17","41195879",43043862
"17","41195880",43043863
"17","41195881",43043864
"17","41195882",43043865
"17","41195883",43043866
"17","41195884",43043867
"17","41195885",43043868
"17","41195886",43043869
"17","41195887",43043870
"17","41195888",43043871
"17","41195889",43043872
"17","41195890",43043873
"17","41195891",43043874
"17","41195892",43043875
"17","41195893",43043876
"17","41195894",43043877
"17","41195895",43043878
"17","41195896",43043879
"17","41195897",43043880
"17","41195898",43043881
"17","41195899",43043882
"17","41195900",43043883
"17","41195901",43043884
"17","41195902",43043885
"17","41195903",43043886
"17","41195904",43043887
"17","41195905",43043888
"17","41195906",43043889
"17","41195907",43043890
"17","41195908",43043891
"17","41195909",43043892
"17","41195910",43043893
"17","41195911",43043894
"17","41195912",43043895
"17","41195913",43043896
"17","41195914",43043897
"17","41195915",43043898
"17","41195916",43043899
"17","41195917",43043900
"17","41195918",43043901
"17","41195919",43043902
"17","41195920",43043903
"17","41195921",43043904
"17","41195922",43043905
"17","41195923",43043906
"17","41195924",43043907
"17","41195925",43043908
"17","41195926",43043909
"17","41195927",43043910
"17","41195928",43043911
"17","41195929",43043912
"17","41195930",43043913
"17","41195931",43043914
"17","41195932",43043915
"17","41195933",43043916
"17","41195934",43043917
"17","41195935",43043918
"17","41195936",43043919
"17","41195937",43043920
"17","41195938",43043921
"17","41195939",43043922
"17","41195940",43043923
"17","41195941",43043924
"17","41195942",43043925
"17","41195943",43043926
"17","41195944",43043927
"17","41195945",43043928
"17","41195946",43043929
"17","41195947",43043930
"17","41195948",43043931
"17","41195949",43043932
"17","41195950",43043933
"17","41195951",43043934
"17","41195952",43043935
"17","41195953",43043936
"17","41195954",43043937
"17","41195955",43043938
"17","41195956",43043939
"17","41195957",43043940
"17","41195958",43043941
"17","41195959",43043942
"17","41195960",43043943
"17","41195961",43043944
"17","41195962",43043945
"17","41195963",43043946
"17","41195964",43043947
"17","41195965",43043948
"17","41195966",43043949
"17","41195967",43043950
"17","41195968",43043951
"17","41195969",43043952
"17","41195970",43043953
"17","41195971",43043954
"17","41195972",43043955
"17","41195973",43043956
"17","41195974",43043957
"17","41195975",43043958
"17","41195976",43043959
"17","41195977",43043960
"17","41195978",43043961
"17","41195979",43043962
"17","41195980",43043963
"17","41195981",43043964
"17","41195982",43043965
"17","41195983",43043966
"17","41195984",43043967
"17","41195985",43043968
"17","41195986",43043969
"17","41195987",43043970
"17","41195988",43043971
"17","41195989",43043972
"17","41195990",43043973
"17","41195991",43043974
"17","41195992",43043975
"17","41195993",43043976
"17","41195994",43043977
"17","41195995",43043978
"17","41195996",43043979
"17","41195997",43043980
"17","41195998",43043981
"17","41195999",43043982
"17","41196000",43043983
"17","41196001",43043984
"17","41196002",43043985
"17","41196003",43043986
"17","41196004",43043987
"17","41196005",43043988
"17","41196006",43043989
"17","41196007",43043990
"17","41196008",43043991
"17","41196009",43043992
"17","41196010",43043993
"17","41196011",43043994
"17","41196012",43043995
"17","41196013",43043996
"17","41196014",43043997
"17","41196015",43043998
"17","41196016",43043999
"17","41196017",43044000
"17","41196018",43044001
"17","41196019",43044002
"17","41196020",43044003
"17","41196021",43044004
"17","41196022",43044005
"17","41196023",43044006
"17","41196024",43044007
"17","41196025",43044008
"17","41196026",43044009
"17","41196027",43044010
"17","41196028",43044011
"17","41196029",43044012
"17","41196030",43044013
"17","41196031",43044014
"17","41196032",43044015
"17","41196033",43044016
"17","41196034",43044017
"17","41196035",43044018
"17","41196036",43044019
"17","41196037",43044020
"17","41196038",43044021
"17","41196039",43044022
"17","41196040",43044023
"17","41196041",43044024
"17","41196042",43044025
"17","41196043",43044026
"17","41196044",43044027
"17","41196045",43044028
"17","41196046",43044029
"17","41196047",43044030
"17","41196048",43044031
"17","41196049",43044032
"17","41196050",43044033
"17","41196051",43044034
"17","41196052",43044035
"17","41196053",43044036
"17","41196054",43044037
"17","41196055",43044038
"17","41196056",43044039
"17","41196057",43044040
"17","41196058",43044041
"17","41196059",43044042
"17","41196060",43044043
"17","41196061",43044044
"17","41196062",43044045
"17","41196063",43044046
"17","41196064",43044047
"17","41196065",43044048
"17","41196066",43044049
"17","41196067",43044050
"17","41196068",43044051
"17","41196069",43044052
"17","41196070",43044053
"17","41196071",43044054
"17","41196072",43044055
"17","41196073",43044056
"17","41196074",43044057
"17","41196075",43044058
"17","41196076",43044059
"17","41196077",43044060
"17","41196078",43044061
"17","41196079",43044062
"17","41196080",43044063
"17","41196081",43044064
"17","41196082",43044065
"17","41196083",43044066
"17","41196084",43044067
"17","41196085",43044068
"17","41196086",43044069
"17","41196087",43044070
"17","41196088",43044071
"17","41196089",43044072
"17","41196090",43044073
"17","41196091",43044074
"17","41196092",43044075
"17","41196093",43044076
"17","41196094",43044077
"17","41196095",43044078
"17","41196096",43044079
"17","41196097",43044080
"17","41196098",43044081
"17","41196099",43044082
"17","41196100",43044083
"17","41196101",43044084
"17","41196102",43044085
"17","41196103",43044086
"17","41196104",43044087
"17","41196105",43044088
"17","41196106",43044089
"17","41196107",43044090
"17","41196108",43044091
"17","41196109",43044092
"17","41196110",43044093
"17","41196111",43044094
"17","41196112",43044095
"17","41196113",43044096
"17","41196114",43044097
"17","41196115",43044098
"17","41196116",43044099
"17","41196117",43044100
"17","41196118",43044101
"17","41196119",43044102
"17","41196120",43044103
"17","41196121",43044104
"17","41196122",43044105
"17","41196123",43044106
"17","41196124",43044107
"17","41196125",43044108
"17","41196126",43044109
"17","41196127",43044110
"17","41196128",43044111
"17","41196129",43044112
"17","41196130",43044113
"17","41196131",43044114
"17","41196132",43044115
"17","41196133",43044116
"17","41196134",43044117
"17","41196135",43044118
"17","41196136",43044119
"17","41196137",43044120
"17","41196138",43044121
"17","41196139",43044122
"17","41196140",43044123
"17","41196141",43044124
"17","41196142",43044125
"17","41196143",43044126
"17","41196144",43044127
"17","41196145",43044128
"17","41196146",43044129
"17","41196147",43044130
"17","41196148",43044131
"17","41196149",43044132
"17","41196150",43044133
"17","41196151",43044134
"17","41196152",43044135
"17","41196153",43044136
"17","41196154",43044137
"17","41196155",43044138
"17","41196156",43044139
"17","41196157",43044140
"17","41196158",43044141
"17","41196159",43044142
"17","41196160",43044143
"17","41196161",43044144
"17","41196162",43044145
"17","41196163",43044146
"17","41196164",43044147
"17","41196165",43044148
"17","41196166",43044149
"17","41196167",43044150
"17","41196168",43044151
"17","41196169",43044152
"17","41196170",43044153
"17","41196171",43044154
"17","41196172",43044155
"17","41196173",43044156
"17","41196174",43044157
"17","41196175",43044158
"17","41196176",43044159
"17","41196177",43044160
"17","41196178",43044161
"17","41196179",43044162
"17","41196180",43044163
"17","41196181",43044164
"17","41196182",43044165
"17","41196183",43044166
"17","41196184",43044167
"17","41196185",43044168
"17","41196186",43044169
"17","41196187",43044170
"17","41196188",43044171
"17","41196189",43044172
"17","41196190",43044173
"17","41196191",43044174
"17","41196192",43044175
"17","41196193",43044176
"17","41196194",43044177
"17","41196195",43044178
"17","41196196",43044179
"17","41196197",43044180
"17","41196198",43044181
"17","41196199",43044182
"17","41196200",43044183
"17","41196201",43044184
"17","41196202",43044185
"17","41196203",43044186
"17","41196204",43044187
"17","41196205",43044188
"17","41196206",43044189
"17","41196207",43044190
"17","41196208",43044191
"17","41196209",43044192
"17","41196210",43044193
"17","41196211",43044194
"17","41196212",43044195
"17","41196213",43044196
"17","41196214",43044197
"17","41196215",43044198
"17","41196216",43044199
"17","41196217",43044200
"17","41196218",43044201
"17","41196219",43044202
"17","41196220",43044203
"17","41196221",43044204
"17","41196222",43044205
"17","41196223",43044206
"17","41196224",43044207
"17","41196225",43044208
"17","41196226",43044209
"17","41196227",43044210
"17","41196228",43044211
"17","41196229",43044212
"17","41196230",43044213
"17","41196231",43044214
"17","41196232",43044215
"17","41196233",43044216
"17","41196234",43044217
"17","41196235",43044218
"17","41196236",43044219
"17","41196237",43044220
"17","41196238",43044221
"17","41196239",43044222
"17","41196240",43044223
"17","41196241",43044224
"17","41196242",43044225
"17","41196243",43044226
"17","41196244",43044227
"17","41196245",43044228
"17","41196246",43044229
"17","41196247",43044230
"17","41196248",43044231
"17","41196249",43044232
"17","41196250",43044233
"17","41196251",43044234
"17","41196252",43044235
"17","41196253",43044236
"17","41196254",43044237
"17","41196255",43044238
"17","41196256",43044239
"17","41196257",43044240
"17","41196258",43044241
"17","41196259",43044242
"17","41196260",43044243
"17","41196261",43044244
"17","41196262",43044245
"17","41196263",43044246
"17","41196264",43044247
"17","41196265",43044248
"17","41196266",43044249
"17","41196267",43044250
"17","41196268",43044251
"17","41196269",43044252
"17","41196270",43044253
"17","41196271",43044254
"17","41196272",43044255
"17","41196273",43044256
"17","41196274",43044257
"17","41196275",43044258
"17","41196276",43044259
"17","41196277",43044260
"17","41196278",43044261
"17","41196279",43044262
"17","41196280",43044263
"17","41196281",43044264
"17","41196282",43044265
"17","41196283",43044266
"17","41196284",43044267
"17","41196285",43044268
"17","41196286",43044269
"17","41196287",43044270
"17","41196288",43044271
"17","41196289",43044272
"17","41196290",43044273
"17","41196291",43044274
"17","41196292",43044275
"17","41196293",43044276
"17","41196294",43044277
"17","41196295",43044278
"17","41196296",43044279
"17","41196297",43044280
"17","41196298",43044281
"17","41196299",43044282
"17","41196300",43044283
"17","41196301",43044284
"17","41196302",43044285
"17","41196303",43044286
"17","41196304",43044287
"17","41196305",43044288
"17","41196306",43044289
"17","41196307",43044290
"17","41196308",43044291
"17","41196309",43044292
"17","41196310",43044293
"17","41196311",43044294
"17","41196312",43044295
"17","41196313",43044296
"17","41196314",43044297
"17","41196315",43044298
"17","41196316",43044299
"17","41196317",43044300
"17","41196318",43044301
"17","41196319",43044302
"17","41196320",43044303
"17","41196321",43044304
"17","41196322",43044305
"17","41196323",43044306
"17","41196324",43044307
"17","41196325",43044308
"17","41196326",43044309
"17","41196327",43044310
"17","41196328",43044311
"17","41196329",43044312
"17","41196330",43044313
"17","41196331",43044314
"17","41196332",43044315
"17","41196333",43044316
"17","41196334",43044317
"17","41196335",43044318
"17","41196336",43044319
"17","41196337",43044320
"17","41196338",43044321
"17","41196339",43044322
"17","41196340",43044323
"17","41196341",43044324
"17","41196342",43044325
"17","41196343",43044326
"17","41196344",43044327
"17","41196345",43044328
