"","cigar","D7_reads","D14_reads","D7_reads_per_thousand","D14_reads_per_thousand","D14_D7_ratio","rep","frame","ratio_normalised"
"58","169M3I79M",2196,3496,1.4196877592,3.41061191997,2.4023676318,"r1","In-frame",1.26714884787907
"59","129M48D71M",2148,1698,1.38865633277,1.65652718539,1.19289931302,"r1","In-frame",0.62920469378638
"60","168M2I80M",2118,28,1.36926169125,0.0273161137755,0.019949520205,"r1","Frameshift",0.0105225408504882
"61","150M25D73M",2035,18,1.31560318305,0.0175603588557,0.0133477625183,"r1","Frameshift",0.00704038868695322
"62","166M6D76M",2000,2514,1.29297610128,2.45259678684,1.89686165462,"r1","In-frame",1.00051550329822
"63","161M10D77M",1839,13,1.18889152512,0.0126824813958,0.0106674840621,"r1","Frameshift",0.00562665345641975
"64","169M17D62M",1825,20,1.17984069241,0.0195115098397,0.0165374104869,"r1","Frameshift",0.00872279511594885
"65","148M37D63M",1810,8,1.17014337165,0.00780460393586,0.00666978434004,"r1","Frameshift",0.00351803338931565
"66","169M4I79M",1789,36,1.15656712259,0.0351207177114,0.0303663462547,"r1","Frameshift",0.0160169826472851
"67","150M29D69M",1786,16,1.15462765844,0.0156092078717,0.0135188238023,"r1","Frameshift",0.00713061638818765
"68","151M22D75M",1779,15,1.15010224209,0.0146336323797,0.0127237665003,"r1","Frameshift",0.00671125678190112
"69","148M21D79M",1770,863,1.14428384963,0.841921649581,0.73576294016,"r1","In-frame",0.388084300502048
"70","166M3I82M",1722,1849,1.1132524232,1.80383908468,1.62033250239,"r1","In-frame",0.854657895155755
"71","153M16D79M",1692,16,1.09385778168,0.0156092078717,0.0142698695691,"r1","Frameshift",0.0075267617430899
"72","165M5D78M",1690,5,1.09256480558,0.00487787745991,0.00446461155897,"r1","Frameshift",0.00235489661044826
"73","154M15D79M",1596,848,1.03179492882,0.827288017201,0.80179500218,"r1","In-frame",0.422913462452182
"74","170M1D77M",1584,34,1.02403707221,0.0331695667274,0.0323909823458,"r1","Frameshift",0.0170848938429957
"75","167M21D60M",1584,1853,1.02403707221,1.80774138664,1.76530853785,"r1","In-frame",0.93112671444532
"76","130M3D115M",1524,752,0.985247789172,0.733632769971,0.744617524681,"r1","In-frame",0.392754724972355
"77","162M6D80M",1490,1871,0.963267195451,1.8253017455,1.89490699374,"r1","In-frame",0.999484501111334
"78","159M14D75M",1476,11,0.954216362742,0.0107313304118,0.0112462234257,"r1","Frameshift",0.00593191436157877
"79","151M18D79M",1432,674,0.925770888514,0.657537881596,0.710259838319,"r1","In-frame",0.374632476689823
"80","150M3D95M",1416,1074,0.915427079704,1.04776807839,1.14456749382,"r1","In-frame",0.603711672566605
"81","162M3D83M",1362,1289,0.880516724969,1.25751680917,1.42815777771,"r1","In-frame",0.753293733506905
"82","150M17D81M",1309,13,0.846252858285,0.0126824813958,0.0149866334531,"r1","Frameshift",0.00790482483293073
"83","161M25D62M",1276,9,0.824918752614,0.00878017942784,0.0106436899392,"r1","Frameshift",0.00561410304780621
"84","165M12D71M",1248,1532,0.806817087196,1.49458165372,1.85244174601,"r1","In-frame",0.977085851952191
"85","157M23D68M",1237,11,0.799705718639,0.0107313304118,0.0134190992532,"r1","Frameshift",0.00707801584286535
"86","161M9D78M",1207,1116,0.78031107712,1.08874224905,1.3952669403,"r1","In-frame",0.73594518694052
"87","173M3D72M",1201,2228,0.776432148816,2.17358219614,2.79944899171,"r1","In-frame",1.47659272360563
"88","157M17D74M",1186,10,0.766734828057,0.00975575491983,0.0127237665003,"r1","Frameshift",0.00671125678190112
"89","170M3D75M",1167,1985,0.754451555095,1.93651735159,2.56678820331,"r1","In-frame",1.35387384991401
"90","109M3D136M",1159,1542,0.74927965069,1.50433740864,2.00771154969,"r1","In-frame",1.05898420515973
"91","167M1D80M",1151,7,0.744107746284,0.00682902844388,0.00917747258778,"r1","Frameshift",0.00484073447465402
"92","166M3D79M",117605,40384,53.0743211988,118.603449086,2.23466728179,"r2","In-frame",1.17869389931449
"93","166M12D70M",70704,34317,31.9082250418,100.785324938,3.15860016675,"r2","In-frame",1.66603000690992
"94","168M1D79M",64238,145,28.9901640676,0.425849349185,0.0146894425362,"r2","Frameshift",0.0077480690046532
"95","169M1D78M",43586,130,19.6700596384,0.381795968235,0.0194100056255,"r2","Frameshift",0.0102379693849148
"96","169M2D77M",37478,97,16.9135615823,0.284878530144,0.016843201756,"r2","Frameshift",0.00888408727173818
"97","163M6D79M",37353,10969,16.8571499489,32.2147690428,1.91104481721,"r2","In-frame",1.00799653072187
"98","169M3D76M",35793,11332,16.1531327637,33.2808608618,2.06033475665,"r2","In-frame",1.08674075465216
"99","169M1I79M",35584,92,16.0588125126,0.270194069828,0.0168252832902,"r2","Frameshift",0.00887463602747661
"100","167M2D79M",26583,47,11.9967236123,0.138033926977,0.0115059687493,"r2","Frameshift",0.00606891919930009
"101","167M8D73M",26497,139,11.9579124085,0.408227996805,0.0341387344929,"r2","Frameshift",0.018006760292685
"102","162M13D73M",23729,121,10.7087331978,0.355363939664,0.0331844983996,"r2","Frameshift",0.017503440505062
"103","153M22D73M",23260,91,10.4970767492,0.267257177764,0.0254601527788,"r2","Frameshift",0.0134291699710877
"104","163M11D74M",19412,60,8.76050102556,0.176213523801,0.0201145486184,"r2","Frameshift",0.0106095864637986
"105","168M6D74M",19228,7094,8.67746310115,20.8343122974,2.40096812334,"r2","In-frame",1.26641066546718
"106","153M26D69M",18747,45,8.4603911357,0.13216014285,0.0156210440783,"r2","Frameshift",0.00823945000942885
"107","168M4D76M",18209,76,8.21759546541,0.223203796814,0.0271616919759,"r2","Frameshift",0.0143266610147923
"108","162M5D81M",16461,39,7.42873518348,0.11453879047,0.0154183434517,"r2","Frameshift",0.0081325338730055
"109","167M2I81M",16310,34,7.3605899303,0.0998543301537,0.0135660770535,"r2","Frameshift",0.00715554050971844
"110","168M1I80M",15824,75,7.14126149951,0.220266904751,0.0308442569658,"r2","Frameshift",0.0162690606385731
"111","165M4D79M",14198,34,6.40745897182,0.0998543301537,0.0155840764011,"r2","Frameshift",0.00821995109970634
"112","168M5D75M",13302,34,6.00310038337,0.0998543301537,0.0166337931696,"r2","Frameshift",0.00877363296596071
"113","164M23D61M",12707,55,5.73458100823,0.161529063484,0.0281675441069,"r2","Frameshift",0.0148572061120797
"114","162M17D69M",12545,106,5.66147153131,0.311310558714,0.0549875693966,"r2","Frameshift",0.0290036521830615
"115","162M7D79M",11739,20,5.29772931893,0.0587378412669,0.0110873617225,"r2","Frameshift",0.00584812143100587
"116","159M9D80M",11450,1730,5.16730562243,5.08082326958,0.983263549871,"r2","In-frame",0.518630561737543
"117","161M8D79M",10730,16,4.84237461386,0.0469902730135,0.00970397310422,"r2","Frameshift",0.00511844156410345
"118","158M13D77M",9943,43,4.48720696977,0.126286358724,0.0281436447159,"r2","Frameshift",0.0148446001789286
"119","169M9D70M",9389,3448,4.2371906104,10.1264038344,2.38988631042,"r2","In-frame",1.26056547079834
"120","169M2I79M",8353,10,3.76965099251,0.0293689206334,0.00779088586498,"r2","Frameshift",0.00410936774084402
"121","153M14D81M",8034,17,3.62568850399,0.0499271650768,0.0137703956151,"r2","Frameshift",0.00726331003945431
"122","169M7D72M",7102,13,3.20508336511,0.0381795968235,0.0119122008616,"r2","Frameshift",0.00628318971571008
"123","156M15D77M",7073,1239,3.19199586616,3.63880926648,1.13997931672,"r2","In-frame",0.60129160028076
"124","168M10D70M",6684,27,3.01644286291,0.0792960857103,0.0262879455418,"r2","Frameshift",0.013865796169357
"125","160M11D77M",6081,17,2.74431314323,0.0499271650768,0.0181929548382,"r2","Frameshift",0.00959602579454848
"126","159M10D79M",5906,12,2.66533685643,0.0352427047601,0.0132226081199,"r2","Frameshift",0.00697437495548252
"127","155M27D66M",5826,904,2.62923341103,2.65495042526,1.00978118341,"r2","In-frame",0.532617508757074
"128","153M37D58M",5651,12,2.55025712423,0.0352427047601,0.013819275094,"r2","Frameshift",0.00728909192835141
"129","165M10D73M",5275,16,2.38057093086,0.0469902730135,0.0197390770442,"r2","Frameshift",0.010411540849813
"130","169M18D61M",5068,1919,2.2871532659,5.63589586956,2.46415312589,"r2","In-frame",1.29973812214977
"131","157M11D80M",4966,5,2.24112137301,0.0146844603167,0.00655228248391,"r2","Frameshift",0.00345605605510256
"132","164M6D78M",4718,1610,2.12920069228,4.72839622198,2.22073768768,"r2","In-frame",1.17134661870087
"133","151M23D74M",4717,13,2.12874939922,0.0381795968235,0.0179352237692,"r2","Frameshift",0.00946008339221878
"134","163M9D76M",4655,2054,2.10076922903,6.03237629811,2.87150830978,"r2","In-frame",1.51460101203854
"135","159M15D74M",4636,908,2.09219466075,2.66669799352,1.27459363296,"r2","In-frame",0.672295044330553
"136","164M3D81M",4558,1095,2.05699380149,3.21589680936,1.56339645119,"r2","In-frame",0.824626499991308
"137","162M8D78M",4541,12,2.04932181934,0.0352427047601,0.0171972524898,"r2","Frameshift",0.00907083428476269
"138","169M13D66M",4512,10,2.03623432039,0.0293689206334,0.0144231537301,"r2","Frameshift",0.00760761275250169
"139","160M23D65M",4497,99,2.02946492437,0.290752314271,0.143265503522,"r2","Frameshift",0.0755665849496556
"140","166M11D71M",4451,26,2.00870544327,0.0763591936469,0.0380141318891,"r2","Frameshift",0.0200508709777715
"141","167M1I81M",3889,11,1.75507873936,0.0323058126968,0.018407044637,"r2","Frameshift",0.00970894924485688
"142","157M12D79M",3858,607,1.74108865427,1.78269348245,1.02389587002,"r2","In-frame",0.540062417953855
"143","159M17D72M",3797,7,1.71355977715,0.0205582444434,0.0119973897132,"r2","Frameshift",0.00632812328612961
"144","150M25D73M",3517,5,1.58719771826,0.0146844603167,0.00925181541515,"r2","Frameshift",0.0048799472191162
"145","139M31D78M",3285,8,1.48249772661,0.0234951365067,0.0158483457242,"r2","Frameshift",0.00835934215870301
"146","165M2D81M",3275,8,1.47798479594,0.0234951365067,0.0158967376196,"r2","Frameshift",0.00838486686761564
"147","169M10D69M",3247,7,1.46534859005,0.0205582444434,0.0140295930832,"r2","Frameshift",0.00740002590622196
"148","163M10D75M",3153,6,1.42292704171,0.0176213523801,0.0123838762379,"r2","Frameshift",0.00653197882764282
"149","159M21D68M",3145,726,1.41931669717,2.13218363799,1.50226065983,"r2","In-frame",0.792379916845348
"150","148M37D63M",3144,9,1.4188654041,0.0264320285701,0.018628989398,"r2","Frameshift",0.00982601586050356
"151","168M2I80M",3063,7,1.38231066563,0.0205582444434,0.0148723763438,"r2","Frameshift",0.00784455896750072
"152","129M48D71M",2962,566,1.33673006582,1.66228090785,1.24354269449,"r2","In-frame",0.655916967808458
"153","151M22D75M",2743,2,1.23789688405,0.00587378412669,0.00474497044332,"r2","Frameshift",0.00250277424274494
"154","169M17D62M",2698,11,1.21758869601,0.0323058126968,0.0265326154904,"r2","Frameshift",0.0139948493747762
"155","166M6D76M",2675,1245,1.20720895546,3.65643061886,3.02882993232,"r2","In-frame",1.59758161422001
"156","169M3I79M",2568,797,1.15892059724,2.34070297448,2.0197267872,"r2","In-frame",1.06532174241517
"157","150M29D69M",2562,3,1.15621283884,0.00881067619003,0.00762028918386,"r2","Frameshift",0.00401938509827435
"158","165M5D78M",2512,4,1.13364818546,0.0117475682534,0.0103626225526,"r2","Frameshift",0.00546585171008746
"159","153M16D79M",2450,11,1.10566801528,0.0323058126968,0.0292183659564,"r2","Frameshift",0.015411470862526
"160","161M10D77M",2431,14,1.097093447,0.0411164888868,0.0374776542502,"r2","Frameshift",0.0197679013718516
"161","148M21D79M",2365,278,1.06730810455,0.816455993609,0.764967482334,"r2","In-frame",0.403488479895229
"162","166M3I82M",2339,733,1.05557448479,2.15274188243,2.03940310555,"r2","In-frame",1.0757001806682
"163","170M1D77M",2261,8,1.02037362553,0.0234951365067,0.0230260131376,"r2","Frameshift",0.0121452627118093
"164","169M4I79M",2226,1,1.00457836817,0.00293689206334,0.00292350717117,"r2","Frameshift",0.0015420282452518
"165","150M17D81M",2200,3,0.992844748415,0.00881067619003,0.00887417313139,"r2","Frameshift",0.00468075664626521
"166","167M21D60M",2199,1721,0.992393455348,5.05439124101,5.09313237988,"r2","In-frame",2.68641516054102
"167","162M6D80M",2080,626,0.93868958032,1.83849443165,1.95857551868,"r2","In-frame",1.03306699571206
"168","159M14D75M",2056,11,0.927858546701,0.0323058126968,0.0348176053469,"r2","Frameshift",0.0183648363877497
"169","161M25D62M",2047,10,0.923796909094,0.0293689206334,0.0317915337715,"r2","Frameshift",0.0167687096918972
"170","154M15D79M",1985,179,0.895816738911,0.525703679338,0.586842884826,"r2","In-frame",0.309535175029033
"171","130M3D115M",1976,323,0.891755101304,0.94861613646,1.06376306126,"r2","In-frame",0.56109070054443
"172","157M23D68M",1924,7,0.868287861796,0.0205582444434,0.0236767613,"r2","Frameshift",0.0124885052585909
"173","157M17D74M",1920,6,0.866482689526,0.0176213523801,0.0203366467594,"r2","Frameshift",0.0107267339810058
"174","167M1D80M",1794,2,0.809619763026,0.00587378412669,0.00725499104015,"r2","Frameshift",0.00382670554506722
"175","151M18D79M",1741,257,0.785701230451,0.754781260279,0.960646656804,"r2","In-frame",0.50670109281984
"176","162M26D60M",1687,7,0.761331404808,0.0205582444434,0.0270030164441,"r2","Frameshift",0.0142429662818774
"177","162M3D83M",1687,630,0.761331404808,1.85024199991,2.43027147997,"r2","In-frame",1.28186696536949
"178","165M12D71M",1636,763,0.738315458367,2.24084864433,3.03508292957,"r2","In-frame",1.60087980978185
"179","157M19D72M",1635,5,0.7378641653,0.0146844603167,0.0199013056973,"r2","Frameshift",0.0104971097061977
"180","167M5D76M",1579,1,0.712591753522,0.00293689206334,0.00412142302914,"r2","Frameshift",0.00217387895751994
"181","98M74D76M",1520,10,0.685965462542,0.0293689206334,0.0428139931778,"r2","Frameshift",0.02258259785481
"182","171M3D74M",1517,709,0.684611583339,2.08225647291,3.04151510664,"r2","In-frame",1.60427251523447
